problem;trial;r2_train;r2_test;seed
706_sleuth_case1202;1;0.7384276300207449;0.6447741098699612;29802
706_sleuth_case1202;2;0.7936031293307124;-0.14641703277575435;22118
706_sleuth_case1202;3;0.7912984649504018;0.571710569797659;860
706_sleuth_case1202;4;0.758279190422015;0.7087684302706665;15795
706_sleuth_case1202;5;0.7370252788651837;0.65963638186692;21575
706_sleuth_case1202;6;0.7457687215177288;0.6019325355604094;5390
706_sleuth_case1202;7;0.801968967933158;0.41887727669607844;11964
706_sleuth_case1202;8;0.7245417751245344;0.5220418991323461;6265
706_sleuth_case1202;9;0.7930681905310957;0.6140614754659484;23654
706_sleuth_case1202;10;0.7591160419536682;0.6453221834999165;11284
