problem;trial;r2_train;r2_test;seed
1027_ESL;1;0.8610097662041845;0.8576555405270332;29802
1027_ESL;2;0.8595428370040847;0.8640277207356368;22118
1027_ESL;3;0.8609710024910966;0.8781154371880402;860
1027_ESL;4;0.8513979972722909;0.8875948647677828;15795
1027_ESL;5;0.861993067235936;0.8578675377853954;21575
1027_ESL;6;0.8480727343853768;0.8129964265360605;5390
1027_ESL;7;0.8568765042484895;0.8659360013270032;11964
1027_ESL;8;0.8526642234733842;0.8664500871719875;6265
1027_ESL;9;0.8578970626737918;0.8714488492593571;23654
1027_ESL;10;0.8721116002408769;0.8249463305246394;11284
