problem;trial;r2_train;r2_test;seed
659_sleuth_ex1714;1;0.9264069347224013;0.7606402758620372;29802
659_sleuth_ex1714;2;0.9218442881652638;0.5978537302332552;22118
659_sleuth_ex1714;3;0.8828063706322051;0.8188750590336805;860
659_sleuth_ex1714;4;0.8822747499689536;0.038178686434801046;15795
659_sleuth_ex1714;5;0.8919076815644781;0.21581322274152892;21575
659_sleuth_ex1714;6;0.9258583803592818;0.8176711723134912;5390
659_sleuth_ex1714;7;0.8727042822048696;0.5369364893042751;11964
659_sleuth_ex1714;8;0.9209544457913518;0.6482487007159989;6265
659_sleuth_ex1714;9;0.9077969104496919;0.5161498563812301;23654
659_sleuth_ex1714;10;0.8915289784039604;0.5772214772561438;11284
