problem;trial;r2_train;r2_test;seed
522_pm10;1;0.2684769490312532;0.20769099322388207;29802
522_pm10;2;0.20782497569966607;0.11446257737064358;22118
522_pm10;3;0.23715182201989615;0.1580801170980477;860
522_pm10;4;0.21717169128459757;0.13998332893855603;15795
522_pm10;5;0.2391847735876964;0.10794750286812138;21575
522_pm10;6;0.22881052461365703;0.1259499877960517;5390
522_pm10;7;0.22399618310782576;0.284588660318178;11964
522_pm10;8;0.28525520105036384;0.044049770949632805;6265
522_pm10;9;0.25481425043446493;0.18317563308761042;23654
522_pm10;10;0.1968867117111417;0.27069420606051986;11284
