problem;trial;r2_train;r2_test;seed
712_chscase_geyser1;1;0.7435573131688171;0.8231318204236788;29802
712_chscase_geyser1;2;0.7718686232667784;0.7534207291828443;22118
712_chscase_geyser1;3;0.7913697556231688;0.7542272239997567;860
712_chscase_geyser1;4;0.7439926967169932;0.8372441380503326;15795
712_chscase_geyser1;5;0.7929678766002975;0.7338967777418952;21575
712_chscase_geyser1;6;0.7967138763200268;0.7121219688351174;5390
712_chscase_geyser1;7;0.7710975721820119;0.7590457603467701;11964
712_chscase_geyser1;8;0.78769900046227;0.7561499885144068;6265
712_chscase_geyser1;9;0.7832247445703264;0.7318617198581974;23654
712_chscase_geyser1;10;0.7665175528017992;0.7785019389615817;11284
