problem;trial;r2_train;r2_test;seed
503_wind;1;0.758204298518909;0.7403221553347749;29802
503_wind;2;0.7525175316872789;0.776259805490631;22118
503_wind;3;0.7707709718218825;0.7586059947006185;860
503_wind;4;0.7596970214112952;0.7499614589885237;15795
503_wind;5;0.7522739519822821;0.748354437152158;21575
503_wind;6;0.7464641970609112;0.7414335032069322;5390
503_wind;7;0.7654947587975579;0.7550459687027988;11964
503_wind;8;0.7673569989011262;0.7593989633907888;6265
503_wind;9;0.7611257905634856;0.7577338840794088;23654
503_wind;10;0.7510961837671223;0.7263583386450764;11284
