problem;trial;r2_train;r2_test;seed
529_pollen;1;0.7936416301593199;0.7762842375312311;29802
529_pollen;2;0.7923126974141735;0.7796384228378532;22118
529_pollen;3;0.7948082882039817;0.7732421887986329;860
529_pollen;4;0.7884527564703446;0.7919143943147757;15795
529_pollen;5;0.7842935302028501;0.803699908638426;21575
529_pollen;6;0.780464700734934;0.7663488738255717;5390
529_pollen;7;0.7804163571088688;0.7674610733464929;11964
529_pollen;8;0.788320352761174;0.7923785073958199;6265
529_pollen;9;0.7930964536245204;0.7764647903980023;23654
529_pollen;10;0.7857462821384988;0.7997819282115133;11284
