dataset,trial,r2_train,r2_zero_test,seed,algorithm
542_pollution,3,0.8757025996889163,0.3586466483607368,860,AlpineGP
542_pollution,4,0.8427896559978701,0.5993231466754244,15795,AlpineGP
542_pollution,5,0.88442923057103,-0.0794145498123271,21575,AlpineGP
542_pollution,6,0.8587679476484558,0.1756186274309036,5390,AlpineGP
542_pollution,7,0.8595922294046611,0.394900006097385,11964,AlpineGP
542_pollution,8,0.8860674952222252,0.5026841173853003,6265,AlpineGP
542_pollution,9,0.9100099096000674,0.224872730478603,23654,AlpineGP
542_pollution,10,0.892256241142471,-0.1549809329699347,11284,AlpineGP
210_cloud,1,0.9370170504323522,0.8750168720328676,29802,AlpineGP
210_cloud,2,0.9443288561952587,0.7701237751272714,22118,AlpineGP
210_cloud,3,0.9362062852615544,0.7109072234723464,860,AlpineGP
210_cloud,4,0.941707475480781,0.8668924537374745,15795,AlpineGP
210_cloud,5,0.9502550689966178,0.8720377373820211,21575,AlpineGP
210_cloud,6,0.9501278827561545,0.7920975246046604,5390,AlpineGP
210_cloud,7,0.9499181250719524,0.9023609619602028,11964,AlpineGP
210_cloud,8,0.936645064507826,0.5457433769041882,6265,AlpineGP
210_cloud,9,0.9357674393297952,0.92761573750909,23654,AlpineGP
210_cloud,10,0.9512344838582608,0.4330108581365607,11284,AlpineGP
523_analcatdata_neavote,1,0.9582300334612134,0.9386714301840428,29802,AlpineGP
523_analcatdata_neavote,2,0.9638237885042876,0.9152095576836036,22118,AlpineGP
523_analcatdata_neavote,3,0.9637411693056734,0.911374339211446,860,AlpineGP
523_analcatdata_neavote,4,0.9536128203238624,0.9484574870362604,15795,AlpineGP
523_analcatdata_neavote,5,0.9528400818699696,0.9555480752217552,21575,AlpineGP
523_analcatdata_neavote,6,0.9469477274013106,0.9694100916316684,5390,AlpineGP
523_analcatdata_neavote,7,0.9656529293299564,0.903244449581866,11964,AlpineGP
523_analcatdata_neavote,8,0.9475894369194252,0.8977943324063037,6265,AlpineGP
523_analcatdata_neavote,9,0.9534332217559968,0.9511202894762965,23654,AlpineGP
523_analcatdata_neavote,10,0.9466394799975568,0.974943197457147,11284,AlpineGP
687_sleuth_ex1605,1,0.8519258728860493,-0.3579459670336773,29802,AlpineGP
687_sleuth_ex1605,2,0.7987859377943957,0.4004695386799757,22118,AlpineGP
687_sleuth_ex1605,3,0.8838746854012204,-0.66006251791857,860,AlpineGP
687_sleuth_ex1605,4,0.8961085319086429,-0.7055883643827232,15795,AlpineGP
687_sleuth_ex1605,5,0.8069466485258305,0.4243892578474434,21575,AlpineGP
687_sleuth_ex1605,6,0.8496296287914841,0.4237392556977601,5390,AlpineGP
687_sleuth_ex1605,7,0.8600680156301125,-0.4758789734224571,11964,AlpineGP
