dataset,trial,r2_train,r2_zero_test,seed,algorithm
519_vinnie,1,0.778064332036953,0.6748797138071458,29802,AlpineGP
519_vinnie,2,0.7703250669020457,0.6980272181857534,22118,AlpineGP
519_vinnie,3,0.7404644581023311,0.7810698906927436,860,AlpineGP
519_vinnie,4,0.7557205123459001,0.7422420153961651,15795,AlpineGP
519_vinnie,5,0.7753683466928414,0.6823477410203764,21575,AlpineGP
519_vinnie,6,0.7718454863310531,0.7108348973656973,5390,AlpineGP
519_vinnie,7,0.7624200887457154,0.7110210092108812,11964,AlpineGP
519_vinnie,8,0.7542153901449076,0.758748813563912,6265,AlpineGP
519_vinnie,9,0.7463017245233379,0.7698959480152934,23654,AlpineGP
519_vinnie,10,0.7660971574339681,0.7296579807114817,11284,AlpineGP
197_cpu_act,1,0.9459404270524344,0.9517952935022012,29802,AlpineGP
197_cpu_act,2,0.9493269464915576,0.9455839224276712,22118,AlpineGP
197_cpu_act,3,0.9576729989414782,0.9541126064259072,860,AlpineGP
197_cpu_act,4,0.9512677945456264,0.949410250487688,15795,AlpineGP
197_cpu_act,5,0.946630987754187,0.945987082764827,21575,AlpineGP
197_cpu_act,6,0.9497295594826964,0.9508140028269846,5390,AlpineGP
197_cpu_act,7,0.945805593846982,0.937062958383871,11964,AlpineGP
197_cpu_act,8,0.9429082101642056,0.9429920623527124,6265,AlpineGP
197_cpu_act,9,0.9499053210287196,0.9481730406174046,23654,AlpineGP
197_cpu_act,10,0.955761891925732,0.9468025285953692,11284,AlpineGP
