problem;trial;r2_train;r2_test;seed
505_tecator;1;0.9843542477719343;0.9796266455069801;29802
505_tecator;2;0.9814019699972192;0.9818992693248443;22118
505_tecator;3;0.9800791089994167;0.9858839293289463;860
505_tecator;4;0.9841195189774317;0.972599150039383;15795
505_tecator;5;0.9814432856312317;0.9818487667331195;21575
505_tecator;6;0.9827441945696866;0.9811132841870515;5390
505_tecator;7;0.9796785926040549;0.9892954617320266;11964
505_tecator;8;0.9804651786223562;0.9840947050424566;6265
505_tecator;9;0.9823654866433313;0.9796968419455596;23654
505_tecator;10;0.9802073228412521;0.9861644898610181;11284
