problem;trial;r2_train;r2_test;seed
192_vineyard;1;0.7914703930087366;0.7186385263194064;29802
192_vineyard;2;0.7406840583982579;0.6779517446527585;22118
192_vineyard;3;0.8107798348300224;0.45635822891233524;860
192_vineyard;4;0.830242639113651;0.34271488707006337;15795
192_vineyard;5;0.8082182888574422;0.2780488843725981;21575
192_vineyard;6;0.8062996495600366;0.4748595721522343;5390
192_vineyard;7;0.7519702793548212;0.7792542434201803;11964
192_vineyard;8;0.67590311939031;0.6868394852220018;6265
192_vineyard;9;0.8013165904588099;0.6552254643428854;23654
192_vineyard;10;0.804884604615151;0.5596231161200768;11284
