problem;trial;r2_train;r2_test;seed
228_elusage;1;0.9404803542652006;0.42305475119148395;29802
228_elusage;2;0.8997299935103586;0.5100999144509297;22118
228_elusage;3;0.8981638231695418;0.8604770010372502;860
228_elusage;4;0.8782891485863765;0.6731083863221022;15795
228_elusage;5;0.8954448337175933;0.850030447472524;21575
228_elusage;6;0.8949906070681711;0.6145901953734203;5390
228_elusage;7;0.9077950670106522;0.8109523793586982;11964
228_elusage;8;0.903539207434487;0.7680044911289763;6265
228_elusage;9;0.9155775594479308;0.8151582048420889;23654
228_elusage;10;0.9517768175105538;0.15690782225904853;11284
