problem;trial;r2_train;r2_test;seed
666_rmftsa_ladata;1;0.5758126575677139;0.7615702345336558;29802
666_rmftsa_ladata;2;0.6524866025148777;0.615492512803522;22118
666_rmftsa_ladata;3;0.6296641673560867;0.4341808773051471;860
666_rmftsa_ladata;4;0.5852335103153825;0.5620353625090833;15795
666_rmftsa_ladata;5;0.6106836805996836;0.7180198208289328;21575
666_rmftsa_ladata;6;0.6353085411657966;0.6489348044986089;5390
666_rmftsa_ladata;7;0.6261527765636332;0.6791171939304516;11964
666_rmftsa_ladata;8;0.620921630202;0.6869098510113656;6265
666_rmftsa_ladata;9;0.6346355250313629;0.6340725255984029;23654
666_rmftsa_ladata;10;0.6211679294939869;0.6141795581524567;11284
