problem;trial;r2_train;r2_test;seed
210_cloud;1;0.9370170504323522;0.8750168720328676;29802
210_cloud;2;0.9443288561952589;0.7701237751272714;22118
210_cloud;3;0.9362062852615544;0.7109072234723464;860
210_cloud;4;0.941707475480781;0.8668924537374745;15795
210_cloud;5;0.9502550689966178;0.8720377373820211;21575
210_cloud;6;0.9501278827561543;0.7920975246046604;5390
210_cloud;7;0.9499181250719525;0.9023609619602028;11964
210_cloud;8;0.9366450645078261;0.5457433769041882;6265
210_cloud;9;0.9357674393297953;0.92761573750909;23654
210_cloud;10;0.9512344838582609;0.4330108581365607;11284
