problem;trial;r2_train;r2_test;seed
695_chatfield_4;1;0.8941977653741806;0.8883597198197268;29802
695_chatfield_4;2;0.8882091877186941;0.8739422734487662;22118
695_chatfield_4;3;0.8894303323652747;0.8609088344955279;860
695_chatfield_4;4;0.9062329318929632;0.8347461658640825;15795
695_chatfield_4;5;0.8976470974404709;0.8355215466854498;21575
695_chatfield_4;6;0.8895321603737939;0.8820638704604157;5390
695_chatfield_4;7;0.9122410532591531;0.8473693769788438;11964
695_chatfield_4;8;0.9094944091510064;0.7979131371584133;6265
695_chatfield_4;9;0.9008635547395554;0.8431840596120737;23654
695_chatfield_4;10;0.8746773899204544;0.9095994717250626;11284
