problem;trial;r2_train;r2_test;seed
1029_LEV;1;0.5708776220882084;0.5041335725597694;29802
1029_LEV;2;0.5612823365132159;0.5621401800680575;22118
1029_LEV;3;0.5345592654525415;0.5923365891544701;860
1029_LEV;4;0.5815488081336065;0.4858166355808077;15795
1029_LEV;5;0.5664859155634948;0.540271053212245;21575
1029_LEV;6;0.5537708589556949;0.5241122945961374;5390
1029_LEV;7;0.5506437667865269;0.6069646267506568;11964
1029_LEV;8;0.5728587903078102;0.48837469725150795;6265
1029_LEV;9;0.5619462077075865;0.5268174722255747;23654
1029_LEV;10;0.5518518992225723;0.5850749561550921;11284
