problem;trial;r2_train;r2_test;seed
560_bodyfat;1;0.9926521624141486;0.9903847336031764;29802
560_bodyfat;2;0.9900998862061462;0.004396539960966561;22118
560_bodyfat;3;0.9897219326634592;-0.16835973723060005;860
560_bodyfat;4;0.994483551613672;0.9785077923422328;15795
560_bodyfat;5;0.9875738196525657;0.9991882082699151;21575
560_bodyfat;6;0.9908878304195129;0.9952659153392174;5390
560_bodyfat;7;0.9898225525524794;0.9904450422634472;11964
560_bodyfat;8;0.9904168913731616;0.9986451024514155;6265
560_bodyfat;9;0.9906986927370602;0.997290612744087;23654
560_bodyfat;10;0.9869804219046383;0.9957663081970914;11284
