problem;trial;r2_train;r2_test;seed
687_sleuth_ex1605;1;0.7589596110974868;-0.6496559521772238;29802
687_sleuth_ex1605;2;0.7142500801821227;0.3684388644994233;22118
687_sleuth_ex1605;3;0.7888655841613157;-0.6510168968466024;860
687_sleuth_ex1605;4;0.7737582671236556;0.10685980223978386;15795
687_sleuth_ex1605;5;0.7456179762145683;0.4982047003729133;21575
687_sleuth_ex1605;6;0.7249560843924215;0.5683574942435825;5390
687_sleuth_ex1605;7;0.727778652688003;-0.08118276261585966;11964
687_sleuth_ex1605;8;0.7402075893560113;0.5272907742648711;6265
687_sleuth_ex1605;9;0.7024135959431965;0.5631632708657252;23654
687_sleuth_ex1605;10;0.6877451179029852;0.639825887262664;11284
