problem;trial;r2_train;r2_test;seed
663_rabe_266;1;0.9963318773423953;0.994459095968284;29802
663_rabe_266;2;0.9960449686025733;0.9951265003999673;22118
663_rabe_266;3;0.9966286261213915;0.9951027571631571;860
663_rabe_266;4;0.9977905446658922;0.9964136491124603;15795
663_rabe_266;5;0.995829672166526;0.993203248165681;21575
663_rabe_266;6;0.9956347362733132;0.9927044269661834;5390
663_rabe_266;7;0.9957878590679023;0.9951743564833472;11964
663_rabe_266;8;0.9966844579109547;0.994371086311904;6265
663_rabe_266;9;0.9963026569250067;0.9961567437900437;23654
663_rabe_266;10;0.996311236079154;0.9959438870119783;11284
